CHASSIS,CHANNEL,CONNECTOR,SIGNAL,CUSTNAME,USE,DESC,COUPLING,EGU,ESLO,EOFF,LOLOlim,LOlim,HIlim,HIHIlim
1,20,DB1,20,01-DB1-20-0020,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,21,DB1,21,01-DB1-21-0021,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,22,DB1,22,01-DB1-22-0022,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,23,DB1,23,01-DB1-23-0023,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,24,DB1,24,01-DB1-24-0024,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,25,DB1,25,01-DB1-25-0025,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,26,DB1,26,01-DB1-26-0026,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,27,DB1,27,01-DB1-27-0027,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,28,DB1,28,01-DB1-28-0028,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,29,DB1,29,01-DB1-29-0029,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,30,DB1,30,01-DB1-30-0030,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,31,DB1,31,01-DB1-31-0031,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
1,32,DB1,32,01-DB1-32-0032,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,1,DB2,33,02-DB2-01-0033,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,2,DB2,34,02-DB2-02-0034,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,3,DB2,35,02-DB2-03-0035,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,4,DB2,36,02-DB2-04-0036,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,5,DB2,37,02-DB2-05-0037,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,6,DB2,38,02-DB2-06-0038,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,7,DB2,39,02-DB2-07-0039,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,8,DB2,40,02-DB2-08-0040,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,9,DB2,41,02-DB2-09-0041,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,10,DB2,42,02-DB2-10-0042,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,11,DB2,43,02-DB2-11-0043,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,12,DB2,44,02-DB2-12-0044,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,13,DB2,45,02-DB2-13-0045,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,14,DB2,46,02-DB2-14-0046,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,15,DB2,47,02-DB2-15-0047,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,16,DB2,48,02-DB2-16-0048,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,17,DB1,49,02-DB1-17-0049,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,18,DB1,50,02-DB1-18-0050,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,19,DB1,51,02-DB1-19-0051,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,20,DB1,52,02-DB1-20-0052,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,21,DB1,53,02-DB1-21-0053,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,22,DB1,54,02-DB1-22-0054,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,23,DB1,55,02-DB1-23-0055,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,24,DB1,56,02-DB1-24-0056,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,25,DB1,57,02-DB1-25-0057,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,26,DB1,58,02-DB1-26-0058,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,27,DB1,59,02-DB1-27-0059,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,28,DB1,60,02-DB1-28-0060,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,29,DB1,61,02-DB1-29-0061,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,30,DB1,62,02-DB1-30-0062,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,31,DB1,63,02-DB1-31-0063,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
2,32,DB1,64,02-DB1-32-0064,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,1,DB2,65,03-DB2-01-0065,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,2,DB2,66,03-DB2-02-0066,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,3,DB2,67,03-DB2-03-0067,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,4,DB2,68,03-DB2-04-0068,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,5,DB2,69,03-DB2-05-0069,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,6,DB2,70,03-DB2-06-0070,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,7,DB2,71,03-DB2-07-0071,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,8,DB2,72,03-DB2-08-0072,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,9,DB2,73,03-DB2-09-0073,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,10,DB2,74,03-DB2-10-0074,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,11,DB2,75,03-DB2-11-0075,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,12,DB2,76,03-DB2-12-0076,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,13,DB2,77,03-DB2-13-0077,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,14,DB2,78,03-DB2-14-0078,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,15,DB2,79,03-DB2-15-0079,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,16,DB2,80,03-DB2-16-0080,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,17,DB1,81,03-DB1-17-0081,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,18,DB1,82,03-DB1-18-0082,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,19,DB1,83,03-DB1-19-0083,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,20,DB1,84,03-DB1-20-0084,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,21,DB1,85,03-DB1-21-0085,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,22,DB1,86,03-DB1-22-0086,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,23,DB1,87,03-DB1-23-0087,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,24,DB1,88,03-DB1-24-0088,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,25,DB1,89,03-DB1-25-0089,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,26,DB1,90,03-DB1-26-0090,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,27,DB1,91,03-DB1-27-0091,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,28,DB1,92,03-DB1-28-0092,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,29,DB1,93,03-DB1-29-0093,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,30,DB1,94,03-DB1-30-0094,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,31,DB1,95,03-DB1-31-0095,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
3,32,DB1,96,03-DB1-32-0096,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,1,DB2,97,04-DB2-01-0097,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,2,DB2,98,04-DB2-02-0098,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,3,DB2,99,04-DB2-03-0099,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,4,DB2,100,04-DB2-04-0100,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,5,DB2,101,04-DB2-05-0101,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,6,DB2,102,04-DB2-06-0102,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,7,DB2,103,04-DB2-07-0103,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,8,DB2,104,04-DB2-08-0104,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,9,DB2,105,04-DB2-09-0105,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,10,DB2,106,04-DB2-10-0106,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,11,DB2,107,04-DB2-11-0107,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,12,DB2,108,04-DB2-12-0108,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,13,DB2,109,04-DB2-13-0109,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,14,DB2,110,04-DB2-14-0110,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,15,DB2,111,04-DB2-15-0111,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,16,DB2,112,04-DB2-16-0112,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,17,DB1,113,04-DB1-17-0113,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,18,DB1,114,04-DB1-18-0114,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,19,DB1,115,04-DB1-19-0115,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,20,DB1,116,04-DB1-20-0116,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,21,DB1,117,04-DB1-21-0117,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,22,DB1,118,04-DB1-22-0118,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,23,DB1,119,04-DB1-23-0119,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,24,DB1,120,04-DB1-24-0120,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,25,DB1,121,04-DB1-25-0121,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,26,DB1,122,04-DB1-26-0122,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,27,DB1,123,04-DB1-27-0123,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,28,DB1,124,04-DB1-28-0124,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,29,DB1,125,04-DB1-29-0125,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,30,DB1,126,04-DB1-30-0126,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,31,DB1,127,04-DB1-31-0127,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
4,32,DB1,128,04-DB1-32-0128,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,1,DB2,129,05-DB2-01-0129,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,2,DB2,130,05-DB2-02-0130,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,3,DB2,131,05-DB2-03-0131,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,4,DB2,132,05-DB2-04-0132,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,5,DB2,133,05-DB2-05-0133,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,6,DB2,134,05-DB2-06-0134,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,7,DB2,135,05-DB2-07-0135,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,8,DB2,136,05-DB2-08-0136,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,9,DB2,137,05-DB2-09-0137,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,10,DB2,138,05-DB2-10-0138,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,11,DB2,139,05-DB2-11-0139,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,12,DB2,140,05-DB2-12-0140,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,13,DB2,141,05-DB2-13-0141,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,14,DB2,142,05-DB2-14-0142,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,15,DB2,143,05-DB2-15-0143,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,16,DB2,144,05-DB2-16-0144,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,17,DB1,145,05-DB1-17-0145,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,18,DB1,146,05-DB1-18-0146,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,19,DB1,147,05-DB1-19-0147,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,20,DB1,148,05-DB1-20-0148,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,21,DB1,149,05-DB1-21-0149,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,22,DB1,150,05-DB1-22-0150,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,23,DB1,151,05-DB1-23-0151,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,24,DB1,152,05-DB1-24-0152,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,25,DB1,153,05-DB1-25-0153,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,26,DB1,154,05-DB1-26-0154,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,27,DB1,155,05-DB1-27-0155,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,28,DB1,156,05-DB1-28-0156,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,29,DB1,157,05-DB1-29-0157,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,30,DB1,158,05-DB1-30-0158,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,31,DB1,159,05-DB1-31-0159,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
5,32,DB1,160,05-DB1-32-0160,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,1,DB2,161,06-DB2-01-0161,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,2,DB2,162,06-DB2-02-0162,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,3,DB2,163,06-DB2-03-0163,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,4,DB2,164,06-DB2-04-0164,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,5,DB2,165,06-DB2-05-0165,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,6,DB2,166,06-DB2-06-0166,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,7,DB2,167,06-DB2-07-0167,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,8,DB2,168,06-DB2-08-0168,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,9,DB2,169,06-DB2-09-0169,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,10,DB2,170,06-DB2-10-0170,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,11,DB2,171,06-DB2-11-0171,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,12,DB2,172,06-DB2-12-0172,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,13,DB2,173,06-DB2-13-0173,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,14,DB2,174,06-DB2-14-0174,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,15,DB2,175,06-DB2-15-0175,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,16,DB2,176,06-DB2-16-0176,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,17,DB1,177,06-DB1-17-0177,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,18,DB1,178,06-DB1-18-0178,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,19,DB1,179,06-DB1-19-0179,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,20,DB1,180,06-DB1-20-0180,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,21,DB1,181,06-DB1-21-0181,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,22,DB1,182,06-DB1-22-0182,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,23,DB1,183,06-DB1-23-0183,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,24,DB1,184,06-DB1-24-0184,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,25,DB1,185,06-DB1-25-0185,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,26,DB1,186,06-DB1-26-0186,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,27,DB1,187,06-DB1-27-0187,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,28,DB1,188,06-DB1-28-0188,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,29,DB1,189,06-DB1-29-0189,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,30,DB1,190,06-DB1-30-0190,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,31,DB1,191,06-DB1-31-0191,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
6,32,DB1,192,06-DB1-32-0192,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,1,DB2,193,07-DB2-01-0193,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,2,DB2,194,07-DB2-02-0194,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,3,DB2,195,07-DB2-03-0195,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,4,DB2,196,07-DB2-04-0196,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,5,DB2,197,07-DB2-05-0197,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,6,DB2,198,07-DB2-06-0198,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,7,DB2,199,07-DB2-07-0199,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,8,DB2,200,07-DB2-08-0200,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,9,DB2,201,07-DB2-09-0201,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,10,DB2,202,07-DB2-10-0202,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,11,DB2,203,07-DB2-11-0203,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,12,DB2,204,07-DB2-12-0204,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,13,DB2,205,07-DB2-13-0205,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,14,DB2,206,07-DB2-14-0206,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,15,DB2,207,07-DB2-15-0207,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,16,DB2,208,07-DB2-16-0208,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,17,DB1,209,07-DB1-17-0209,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,18,DB1,210,07-DB1-18-0210,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,19,DB1,211,07-DB1-19-0211,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,20,DB1,212,07-DB1-20-0212,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,21,DB1,213,07-DB1-21-0213,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,22,DB1,214,07-DB1-22-0214,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,23,DB1,215,07-DB1-23-0215,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,24,DB1,216,07-DB1-24-0216,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,25,DB1,217,07-DB1-25-0217,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,26,DB1,218,07-DB1-26-0218,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,27,DB1,219,07-DB1-27-0219,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,28,DB1,220,07-DB1-28-0220,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,29,DB1,221,07-DB1-29-0221,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,30,DB1,222,07-DB1-30-0222,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,31,DB1,223,07-DB1-31-0223,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
7,32,DB1,224,07-DB1-32-0224,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,1,DB2,225,08-DB2-01-0225,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,2,DB2,226,08-DB2-02-0226,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,3,DB2,227,08-DB2-03-0227,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,4,DB2,228,08-DB2-04-0228,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,5,DB2,229,08-DB2-05-0229,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,6,DB2,230,08-DB2-06-0230,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,7,DB2,231,08-DB2-07-0231,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,8,DB2,232,08-DB2-08-0232,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,9,DB2,233,08-DB2-09-0233,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,10,DB2,234,08-DB2-10-0234,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,11,DB2,235,08-DB2-11-0235,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,12,DB2,236,08-DB2-12-0236,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,13,DB2,237,08-DB2-13-0237,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,14,DB2,238,08-DB2-14-0238,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,15,DB2,239,08-DB2-15-0239,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,16,DB2,240,08-DB2-16-0240,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,17,DB1,241,08-DB1-17-0241,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,18,DB1,242,08-DB1-18-0242,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,19,DB1,243,08-DB1-19-0243,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,20,DB1,244,08-DB1-20-0244,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,21,DB1,245,08-DB1-21-0245,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
8,22,DB1,246,08-DB1-22-0246,Yes,dummy,DC,V,1,0,-9.99,-9.99,9.99,9.99
